Module name,Overall R2 Train - Test Difference,Overall MSE Test / Train Ratio,Overall RMSE Train - Test Difference,Overall MAE Test / Train Ratio,Avg %E Difference (Test - Train),Roughness R2 Train - Test Difference,Roughness MSE Test / Train Ratio,Roughness MAE Difference (Test - Train),Roughness RMSE Test / Train Ratio,Roughness %E Difference (Test - Train),Tensile Strength R2 Train - Test Difference,Tensile Strength MSE Test / Train Ratio,Tensile Strength MAE Difference (Test - Train),Tensile Strength RMSE Test / Train Ratio,Tensile Strength %E Difference (Test - Train),Elongation R2 Train - Test Difference,Elongation MSE Test / Train Ratio,Elongation MAE Difference (Test - Train),Elongation RMSE Test / Train Ratio,Elongation %E Difference (Test - Train)
Linear Regression,0.05867139122107312,1.0166051133405507,-0.1695076104315838,0.9123924246810522,-0.26496759320883356,-0.04084297139507975,1.0233976572493344,-2.320398238180104,1.0116311863764058,3.8336152291480943,-0.0056443443158255,0.7127158756716092,-0.63998928860501,0.844225014834084,-9.031963977377785,0.2225014893741245,1.3931319388755237,0.05337575698285413,1.180310102843962,4.40344596860319
Linear Regression (Custom),0.058671391220571634,1.0166051133410998,-0.1695076104371651,0.9123924246815196,-0.26496759326654146,-0.040842971395026684,1.0233976572498833,-2.320398238167762,1.0116311863766771,3.833615229177717,-0.005644344315557381,0.7127158756721877,-0.6399892885985827,0.8442250148344266,-9.031963977482576,0.22250148937229852,1.3931319388702768,0.05337575698178343,1.180310102841739,4.403445968505235
Polynomial Regression (Degree 3),0.30969502915077063,3.393483435096164e+28,-18.21868098337199,231144486777633.8,30.45075127097108,0.07561315480421005,3.3284226705329496e+28,25.872397959701768,182439652228701.38,34.599380691826184,0.51255719661027,8.760273412401095e+28,4.526894921781098,295977590577413.4,27.959198564828267,0.34091473603783173,5.0998851897748655e+28,0.38571554437895694,225829253857308.44,28.793674556258797
Decision Tree Regressor (Selected Features),-0.22488390913028888,2.5518038464346238,-8.720604157617133,1.323298594373941,-12.410309416130639,0.06057381937962114,2.778070216967412,11.93763736263736,1.6667543961146203,12.519514569879224,-0.3949213333745918,0.32114793026737787,-3.1968131868131864,0.5666991532262756,-29.39135448296756,-0.3403042133958959,0.13006740719643026,-0.24650000000000002,0.3606485923949105,-20.359088335303582
Random Forest Regressor (Selected Features),-0.23109579841229477,1.428488064010466,-4.103398387163889,1.0835313123633945,-10.459191999804922,0.003483733206914308,1.4812569691302189,6.152500000000003,1.2170690075464985,9.263628764122139,-0.40857313579200283,0.3149953049808151,-3.053333333333334,0.5612444253449785,-27.57362559459183,-0.28819799265179613,0.24681399049967817,-0.16916666666666663,0.49680377464314646,-13.067579168945072
Support Vector Regressor (Linear),0.002828280934594196,0.6140981101363657,0.0,0.8525544754141606,-0.8626214147482187,-0.1236676340968611,0.615340029942456,-4.810369044441259,0.7844361222830422,6.597683639710471,-0.11243444509872691,0.5484899647870133,-0.4255454311254554,0.7406010834362946,-8.270556806406336,0.24458692199937027,1.3552142247014038,0.05489481905873039,1.1641366864339444,-0.914991077548791
Support Vector Regressor (RBF),0.2931429397809686,12.014041507018796,-20.96986502558915,6.926957004673586,38.177283544160794,0.17780128182302957,11.909888801400694,36.36218933917869,3.4510706746458686,62.87291921763764,0.38861798163863925,313.47804557474643,4.045501514621604,17.705311225017944,28.033397251385992,0.31300955588123736,1478.9215372365666,0.31869739814900166,38.45674891662797,23.625534163458756
KNN Regressor (Selected Features),0.4906414195443647,inf,-39.004997373043835,inf,50.295454564946986,0.35496254223569057,inf,56.466266445206806,inf,89.16241722625244,0.5715359965603676,inf,4.86565146887912,inf,30.444398087124096,0.5454257198370361,inf,0.4440014214733317,inf,31.279548381464423
KNN Regressor (Custom),0.012438219061948974,1.7989457523509547,-9.892587231021658,1.2820590790616853,15.265279760067779,0.07165429999652029,1.813201106033406,14.030000000000001,1.3465515608521665,62.44430555035632,-0.05335194114446795,0.6181295733235324,-1.044999999999999,0.7862121681349966,-12.708033158443342,0.019012298333794364,0.8070338884360087,0.0010000000000001674,0.8983506489317011,-3.9404331117096447
Ridge Regression (Selected Features),-0.04358603375886316,0.4888254737714062,7.290175944153276,0.663587086064833,-0.5860833522525984,-0.12970278225967724,0.4830754471002046,-12.510493645176073,0.6950362919302882,0.76537626370569,-0.004881418479495858,0.7180620255861135,-0.18898721381635486,0.8473854055777179,-3.318896097268592,0.003826099462583832,0.7610325268992973,-0.021504558490965553,0.8723717824983207,0.7952697768051067
Lasso Regression (Selected Features),-0.058605361815065704,0.4645874497575074,7.651590242865915,0.7425906013122302,-0.5821929285635576,-0.13080632640958767,0.45815456691628853,-9.15645295323623,0.6768711597610646,2.523868352674377,-0.005527357301518987,0.7171557822816511,-0.18897460261751586,0.8468505076349964,-3.2593667317466917,-0.039482401734090455,0.683064677623889,-0.049577550733262366,0.8264772698773324,-1.0110804066183618
Elastic Net (Selected Features),-0.04113020535752443,0.4681789587922767,7.594981839421624,0.7182009617749879,-0.07926230702460539,-0.13055082842097676,0.4618627896421804,-10.185361838939528,0.6796048775885738,1.9704127742045543,-0.006137224159466048,0.7162977328740664,-0.1921364024715828,0.8463437439209122,-3.148020163763565,0.013297436507869631,0.7794780175547796,-0.016801472469053003,0.8828805228085959,0.9398204684851912
