,Random Forest (Selected Features),Decision Tree,Linear Regression,Linear Regression (Custom),Ridge Regression,Lasso Regression,Elastic Net,Polynomial Regression (Degree 3)
layer_height,0.46990992243837626,0.6122026331755448,27.48330718932767,[1260.07290868   65.00900532    6.84697395],26.01589020839229,25.997188052926948,26.01523001223357,
nozzle_temperature,0.33338114339709773,0.3383564819675624,77.0380184494815,[15.03699509 -1.16990665 -0.13596825],59.934082034445474,71.50664000113454,68.4501835997561,
print_speed,0.19670893416452606,0.04944088485689291,7.782236332797454,[ 0.72690125 -0.01104841 -0.00265613],,,,
material_pla,,,51.97483146791549,[289.05991578 -20.45759196  -2.33148106],39.58326696128491,49.072875184548735,46.56650690059714,
bed_temperature,,,20.542609291055147,[-55.5765682    4.27881972   0.5034154 ],30.554642671219664,37.84230114070828,35.92055258988524,
fan_speed,,,20.542609291055044,[ 7.96933193 -0.6269607  -0.07328871],,,,
wall_thickness,,,4.588780303698631,[3.51593698 1.16532185 0.03778206],1.7721686671565398,1.7687798018184129,1.7784288002978093,
infill_density,,,3.0650647351614055,[-0.19358587  0.17917482  0.01240472],,,,
infill_pattern_honeycomb,,,0.30431688675350055,[ 0.43355385 -1.27553391 -0.11681356],0.8787052824685122,0.8981542196618367,0.9009782402626499,
