source_file,case_name,case_group,dataset_role,is_confirmation,rows,flow_time_start,flow_time_end,pitch_min,pitch_max,pitch_rate_min,pitch_rate_max,cl_min,cl_max,cd_min,cd_max
T2_OUTPUT.out,T2,T,confirmation,True,7500,0.506,8.005,2.8000060684492527,3.8000091083277696,-267.77789030839176,267.86747676421055,0.6279344,1.193464,0.02352827,0.07147041
T3_OUTPUT.out,T3,T,confirmation,True,7500,0.506,8.005,2.6258505839268875,3.9979990882018317,-213.15792357615283,213.1645769639615,0.6591474,1.220107,0.02376376,0.07331535
B1_OUTPUT.out,B1,B,train,False,7500,0.506,8.005,3.000047910064056,3.000047910064056,-9.094947017729282e-13,4.547473508864641e-13,0.772301,1.075333,0.02549919,0.05203782
B2_OUTPUT.out,B2,B,train,False,7500,0.506,8.005,3.0994157623914953,3.0994157623914953,-9.094947017729282e-13,4.547473508864641e-13,0.7635907,1.089276,0.02662688,0.05536547
B3_OUTPUT.out,B3,B,train,False,7500,0.506,8.005,3.3005804145093376,3.3005804145093376,-4.547473508864641e-13,4.547473508864641e-13,0.7494071,1.115812,0.02893392,0.06224527
B4_OUTPUT.out,B4,B,train,False,7500,0.506,8.005,3.4925282550675556,3.4925282550675556,-1.8189894035458565e-12,2.2737367544323206e-13,0.7382721,1.139283,0.03125618,0.06838389
C1_OUTPUT.out,C1,C,train,False,7500,0.506,8.005,2.501002163843505,3.4991676555631943,-123.493292215461,124.3994179455583,0.6432273,1.08932,0.02252085,0.05619967
C2_OUTPUT.out,C2,C,train,False,7500,0.506,8.005,2.5000061541994105,3.5000068791467824,-212.98134218443556,212.98143844762603,0.6679629,1.16955,0.02120939,0.0632927
C3_OUTPUT.out,C3,C,train,False,7500,0.506,8.005,2.5226299921755575,3.477373049392986,-350.4212628518353,294.01814041480975,0.6854655,1.114364,0.02104337,0.05412279
C4_OUTPUT.out,C4,C,train,False,7500,0.506,8.005,2.6010020406835483,3.5991674449122804,-123.49247774859691,124.39897681057596,0.6483979,1.097646,0.0239598,0.05870549
C5_OUTPUT.out,C5,C,train,False,7500,0.506,8.005,2.600006027720917,3.600008107797586,-212.98201161572206,212.9803651571258,0.666872,1.180962,0.02218116,0.06630756
C6_OUTPUT.out,C6,C,train,False,7500,0.506,8.005,2.6226296347627933,3.5773723072754535,-350.418243988187,294.01756079220445,0.6756821,1.128806,0.02193307,0.05708132
C7_OUTPUT.out,C7,C,train,False,7500,0.506,8.005,2.8010020786824015,3.7991683929577076,-123.49254233310921,124.39928540911023,0.6468885,1.109085,0.02699389,0.06438145
C8_OUTPUT.out,C8,C,train,False,7500,0.506,8.005,2.8000060684492527,3.8000091083277696,-212.98062161224357,212.98013478505072,0.6634151,1.201913,0.02428598,0.07203621
C9_OUTPUT.out,C9,C,train,False,7500,0.506,8.005,2.8226306538218897,3.7773734251595354,-350.4205473628899,294.0172786101141,0.6625257,1.162344,0.02409197,0.06422219
D1_OUTPUT.out,D1,D,train,False,7500,0.506,8.005,2.001997096210051,3.9983277001782405,-246.9853098510464,248.7976403875498,0.4790233,1.144212,0.02125321,0.06055341
D2_OUTPUT.out,D2,D,train,False,7500,0.506,8.005,2.0000048522930354,4.000009908178842,-425.9615395642111,425.96125325442745,0.5436912,1.226841,0.01862971,0.06940997
D3_OUTPUT.out,D3,D,train,False,7500,0.506,8.005,2.045252932449309,3.9547360590587535,-700.838307518401,588.0353975394357,0.6331761,1.145426,0.0195269,0.05564476
D4_OUTPUT.out,D4,D,train,False,7500,0.506,8.005,2.1019972619836187,4.098328040253681,-246.98472036524709,248.7979451766903,0.4888093,1.153564,0.02275278,0.06321059
D5_OUTPUT.out,D5,D,train,False,7500,0.506,8.005,2.1000052523599835,4.100010242447662,-425.9622647853914,425.9614297489238,0.5458549,1.234591,0.01973006,0.07231969
D6_OUTPUT.out,D6,D,train,False,7500,0.506,8.005,2.145253914158495,4.054736810444086,-700.8404577529454,588.0347339042155,0.6146,1.156916,0.01962668,0.05836016
D7_OUTPUT.out,D7,D,train,False,7500,0.506,8.005,2.30199776394019,4.298328472390846,-246.98570205426563,248.79798087656445,0.507917,1.167535,0.02577477,0.06874186
D8_OUTPUT.out,D8,D,train,False,7500,0.506,8.005,2.3000060100896156,4.300010076074024,-425.9622203367944,425.9609987705485,0.5450693,1.248089,0.02140745,0.07774702
D9_OUTPUT.out,D9,D,train,False,7500,0.506,8.005,2.345254967142125,4.254736325988982,-700.841077735291,588.0348801158234,0.5834372,1.189403,0.01968613,0.06541914
